Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
3,0.0901,0.0885,0.2600802,3,Not eroded,0,1,0,0,1,1,0.133530063,0.122968981,0.729938197,1,0.243842075,0.428571429,0.418772563,0
8,0.236,0.0618,0.2356247,0,Not eroded,0,1,1,1,1,1,0.671707857,0.02437223,0.64293871,1,0.000248384,0,0.678700361,0
9,0.275,0.222,0.3040631,2,Not eroded,0,1,0,1,1,1,0.815566212,0.615952733,0.886405647,1,0.681942172,0.285714286,0.14801444,0
10,0.164,0.136,0.3033449,0,ERODED,1,1,1,1,1,1,0.406123202,0.298375185,0.883850678,1,0.674788403,0,0.209386282,0
16,0.256,0.14,0.3175388,0,ERODED,1,1,1,1,1,1,0.745481372,0.313146233,0.934344923,1,0.816169462,0,0.115523466,0
18,0.311,0.179,0.2879483,0,Not eroded,0,1,1,1,1,1,0.948358539,0.457163959,0.829077875,1,0.521427621,0,0,0.976004215
19,0.107,0.129,0.3186828,0,ERODED,1,1,1,1,1,1,0.195868683,0.272525849,0.938414659,1,0.827564493,0,0.086642599,0
20,0.136,0.266,0.2816828,5,Not eroded,0,0,0,0,0,1,0.30284028,0.778434269,0.806788603,1,0.459018908,0.714285714,0.469314079,0.521513512
30,0.134,0.15,0.2760305,0,Not eroded,0,1,1,1,1,1,0.295462929,0.350073855,0.786680767,1,0.402718092,0,0.418772563,0.473779289
33,0.237,0.31,0.3081049,0,ERODED,1,1,1,1,1,1,0.675396533,0.940915805,0.900784192,1,0.722201295,0,0,0.400548519
35,0.173,0.0565,0.2759666,0,Not eroded,0,1,1,1,1,1,0.439321284,0.004800591,0.786453445,1,0.402081604,0,0.317689531,0
36,0.168,0.126,0.2992914,0,ERODED,1,1,1,1,1,1,0.420877905,0.261447563,0.86943051,1,0.63441274,0,0.209386282,0
37,0.242,0.197,0.2584054,0,Not eroded,0,1,1,1,1,1,0.693839911,0.523633678,0.723980161,1,0.227159909,0,0.534296029,0.548123949
40,0.104,0.124,0.2580318,0,Not eroded,0,1,1,1,1,1,0.184802656,0.254062038,0.722651094,1,0.223438594,0,0.483754513,0
42,0.267,0.318,0.3081233,0,ERODED,1,1,1,1,1,1,0.786056806,0.970457903,0.90084965,1,0.722384572,0,0,0.536576235
